Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,..,9843842455.48323,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149,20536542736.7297,20046334303.9661,20050189881.6659,19331286549.3323,..
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2101624962.5,3632043907.78974,10701011896.7708,12881352687.7773,12044212903.8168,11926953258.916,12890867538.5302,12319784787.2987,12781029643.5936,13219857459.1009,11398392444.316,..
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,62045098374.5482,54790060512.8886,134977088396.419,171000692134.748,137211039899.57,161207268840.911,200013050828.17,209047389599.67,209703529364.331,213518488688.12,166838617796.555,..
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,ADO,1029048481.88051,1401695227.56587,4010990966.32904,4001201113.22689,3650083356.48791,3346516556.29139,3427022518.76564,3146151869.45908,3248924588.42273,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,10033444816.0535,9129634978.33773,60448921272.2326,84178032716.0971,75492384801.3695,82470913120.7314,104115923082.737,115398371427.673,124912063308.202,126776874216.703,102626929544.805,..
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,391570370.37037,783837851.851852,1289254333.33333,1347349851.85185,1206410370.37037,1135539037.03704,1129918370.37037,1204713111.11111,1200587518.51852,1220976000,1259259259.25926,..
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,141352368724.031,284203750000,288833322724.044,363137495039.856,334490355492.26,425916078731.8,533200293249.748,548934618735.756,554155198994.424,529726189460.922,583168571071.407,..
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2256838858.42714,1911563665.39006,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79782,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10529182498.3475,..
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,..,1873452513.96648,2623726256.98324,2791960893.85475,2498932960.89385,2467703910.61453,2584463687.15084,..,..,..,..,..
